model,scale,parameter,row_type,method,overall_status,primary_metric,expectation_strength,reason,observed_behavior
baseline,medium_large,network_size,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=9.3516 end=20.6794 reversals=0; different topologies, general-trend case"
baseline,medium_large,network_size,method_level,Heuristic,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=8.2968 end=13.6702 reversals=0; different topologies, general-trend case"
baseline,medium_large,network_size,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=10.3938 end=19.545 reversals=0; different topologies, general-trend case"
baseline,medium_large,parking_budget,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=13.6702 end=13.7368 reversals=1; overall tendency holds with local fluctuation
baseline,medium_large,parking_budget,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.8856 end=20.6794 reversals=1; net contradiction likely due to search quality, max_step=1.7168"
baseline,medium_large,parking_budget,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.6702 end=13.6702 reversals=0
baseline,medium_large,parking_budget,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=17.863 end=19.545 reversals=1; net contradiction likely due to search quality, max_step=1.682"
baseline,medium_large,parking_cost_range,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.7368 end=14.3862 reversals=0
baseline,medium_large,parking_cost_range,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=20.6794 end=20.6714 reversals=1; overall tendency holds with local fluctuation
baseline,medium_large,parking_cost_range,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.6702 end=14.3862 reversals=0
baseline,medium_large,parking_cost_range,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.545 end=21.2888 reversals=1; overall tendency holds with local fluctuation
baseline,medium_large,parking_supply,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.7368 end=13.7368 reversals=0
baseline,medium_large,parking_supply,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=20.6794 end=49.9674 reversals=1; net contradiction likely due to search quality, max_step=29.288"
baseline,medium_large,parking_supply,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.6702 end=13.6702 reversals=0
baseline,medium_large,parking_supply,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.545 end=48.3184 reversals=1; net contradiction likely due to search quality, max_step=28.7734"
baseline,medium_large,traffic_level,method_level,ACO,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=11.04 end=37.428 reversals=0
baseline,medium_large,traffic_level,method_level,GA,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=16.77 end=72.204 reversals=0
baseline,medium_large,traffic_level,method_level,Heuristic,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=10.878 end=36.924 reversals=0
baseline,medium_large,traffic_level,method_level,PSO,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=14.79 end=66.276 reversals=0
baseline,small,edge_density,method_level,Heuristic,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=1.62 end=1.392 reversals=0
baseline,small,edge_density,method_level,Optimization,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=1.62 end=1.392 reversals=0
baseline,small,maximum_walking_distance,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=4.67 end=3.7458 reversals=0
baseline,small,maximum_walking_distance,method_level,Optimization,CONSISTENT,objective,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=4.67 end=4.67 reversals=0
baseline,small,network_size,method_level,Heuristic,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=4.4396 end=5.1478 reversals=0; different topologies, general-trend case"
baseline,small,network_size,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=4.4196 end=4.73 reversals=0; different topologies, general-trend case"
baseline,small,parking_budget,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=3.554 end=3.554 reversals=0
baseline,small,parking_budget,method_level,Optimization,CONSISTENT,objective,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=3.554 end=3.554 reversals=0
baseline,small,parking_cost_range,method_level,Heuristic,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=4.67 end=4.278 reversals=2; general expected tendency not observed, but the rule is not strict"
baseline,small,parking_cost_range,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=4.67 end=4.278 reversals=2; general expected tendency not observed, but the rule is not strict"
baseline,small,parking_supply,method_level,Heuristic,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=4.67 end=5.205 reversals=1; net contradiction likely due to search quality, max_step=0.535"
baseline,small,parking_supply,method_level,Optimization,CONSISTENT,objective,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=4.67 end=4.67 reversals=0
baseline,small,traffic_level,method_level,Heuristic,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=1.392 end=4.992 reversals=0
baseline,small,traffic_level,method_level,Optimization,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=1.392 end=4.992 reversals=0
baseline,sumo,edge_density,method_level,ACO,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=10.26 end=10.518 reversals=1; general expected tendency not observed, but the rule is not strict"
baseline,sumo,edge_density,method_level,GA,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=12.78 end=14.022 reversals=1; general expected tendency not observed, but the rule is not strict"
baseline,sumo,edge_density,method_level,Heuristic,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=10.272 end=9.18 reversals=0
baseline,sumo,edge_density,method_level,PSO,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=14.004 end=12.78 reversals=1; overall tendency holds with local fluctuation
baseline,sumo,maximum_walking_distance,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=11.8544 end=11.8544 reversals=0
baseline,sumo,maximum_walking_distance,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=14.9486 end=14.414 reversals=1; overall tendency holds with local fluctuation
baseline,sumo,maximum_walking_distance,method_level,Heuristic,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=11.8544 end=12.431 reversals=1; net contradiction likely due to search quality, max_step=0.5766"
baseline,sumo,maximum_walking_distance,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=17.3978 end=17.1252 reversals=2; overall tendency holds with local fluctuation
baseline,sumo,network_size,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",single-point graph value=11.8544; single-point general-trend case
baseline,sumo,network_size,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",single-point graph value=14.1224; single-point general-trend case
baseline,sumo,network_size,method_level,Heuristic,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",single-point graph value=12.431; single-point general-trend case
baseline,sumo,network_size,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",single-point graph value=15.224; single-point general-trend case
baseline,sumo,parking_budget,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=14.2206 end=11.8544 reversals=0
baseline,sumo,parking_budget,method_level,GA,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=17.2068 end=14.1224 reversals=0
baseline,sumo,parking_budget,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=14.2206 end=12.431 reversals=0
baseline,sumo,parking_budget,method_level,PSO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=18.0114 end=15.224 reversals=0
baseline,sumo,parking_cost_range,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=11.8544 end=13.184 reversals=0
baseline,sumo,parking_cost_range,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=14.1224 end=17.7224 reversals=1; overall tendency holds with local fluctuation
baseline,sumo,parking_cost_range,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.431 end=13.7876 reversals=0
baseline,sumo,parking_cost_range,method_level,PSO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=15.224 end=18.9482 reversals=0
baseline,sumo,parking_supply,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=11.8544 end=11.8544 reversals=0
baseline,sumo,parking_supply,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=14.1818 end=14.7218 reversals=1; net contradiction likely due to search quality, max_step=1.4622"
baseline,sumo,parking_supply,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.431 end=12.431 reversals=0
baseline,sumo,parking_supply,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=13.9928 end=18.382 reversals=2; net contradiction likely due to search quality, max_step=3.969"
baseline,sumo,traffic_level,method_level,ACO,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=8.814 end=31.716 reversals=0
baseline,sumo,traffic_level,method_level,GA,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=10.824 end=38.088 reversals=0
baseline,sumo,traffic_level,method_level,Heuristic,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=8.82 end=31.002 reversals=0
baseline,sumo,traffic_level,method_level,PSO,CONSISTENT,driving,STRICT,Observed behavior matches the scientifically appropriate expectation.,start=14.034 end=40.296 reversals=0
extension,medium_large,edge_density,method_level,ACO,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=12.3722 end=10.0954 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,edge_density,method_level,GA,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=18.6815 end=14.8351 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,edge_density,method_level,PSO,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=18.8702 end=10.7282 reversals=0
extension,medium_large,maximum_walking_distance,method_level,ACO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=13.6844 end=13.8302 reversals=1; net contradiction likely due to search quality, max_step=0.1458"
extension,medium_large,maximum_walking_distance,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.5659 end=19.7912 reversals=1; net contradiction likely due to search quality, max_step=1.47827"
extension,medium_large,maximum_walking_distance,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=18.4962 end=18.897 reversals=1; net contradiction likely due to search quality, max_step=1.11825"
extension,medium_large,node_size,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=8.3805 end=13.7663 reversals=0; different topologies, general-trend case"
extension,medium_large,node_size,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=9.1527 end=19.5398 reversals=0; different topologies, general-trend case"
extension,medium_large,node_size,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=10.5159 end=19.6145 reversals=0; different topologies, general-trend case"
extension,medium_large,parking_budget_cmax,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.7663 end=13.7663 reversals=0
extension,medium_large,parking_budget_cmax,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.0907 end=21.5194 reversals=2; net contradiction likely due to search quality, max_step=1.97962"
extension,medium_large,parking_budget_cmax,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.7306 end=18.3278 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,parking_cost_range,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.7663 end=14.5763 reversals=0
extension,medium_large,parking_cost_range,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.5398 end=21.4214 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,parking_cost_range,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.6145 end=19.5065 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,parking_spot_availability,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.7663 end=13.6952 reversals=0
extension,medium_large,parking_spot_availability,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.5398 end=19.3836 reversals=1; overall tendency holds with local fluctuation
extension,medium_large,parking_spot_availability,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=19.6145 end=18.2684 reversals=2; overall tendency holds with local fluctuation
extension,medium_large,spots_per_lot,method_level,ACO,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.6547 end=13.6547 reversals=0
extension,medium_large,spots_per_lot,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.0385 end=21.7959 reversals=2; net contradiction likely due to search quality, max_step=3.17881"
extension,medium_large,spots_per_lot,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=18.9791 end=19.8785 reversals=2; net contradiction likely due to search quality, max_step=1.10462"
extension,medium_large,traffic_level,method_level,ACO,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=12.3722 end=10.9502 reversals=1; feasible-set expectation broken by approximate search
extension,medium_large,traffic_level,method_level,GA,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=18.6815 end=17.2082 reversals=1; feasible-set expectation broken by approximate search
extension,medium_large,traffic_level,method_level,PSO,SEARCH_QUALITY_VIOLATION,driving,STRICT,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.",start=18.8702 end=14.8594 reversals=1; feasible-set expectation broken by approximate search
extension,small_scale,scale_edge_density,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_edge_density,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_edge_density,method_level,Optimization,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_edge_density,method_level,PSO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_maximum_walking_distance,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
extension,small_scale,scale_maximum_walking_distance,method_level,GA,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",no directional rule applied
